"Bloomberg","Yahoo","Industry","Name"
"PSN LN Equity","PSN.L","Consumer, Cyclical","Persimmon PLC"
"AUTO LN Equity","AUTO.L","Communications","Auto Trader Group PLC"
"AV/ LN Equity","AV.L","Financial","Aviva PLC"
"PFC LN Equity","PFC.L",NA,"Petrofac Ltd"
"GAW LN Equity","GAW.L",NA,"Games Workshop Group PLC"
"GCP LN Equity","GCP.L",NA,"GCP Infrastructure Investments Ltd"
"AVST LN Equity","AVST.L",NA,"Avast PLC"
"AVV LN Equity","AVV.L",NA,"AVEVA Group PLC"
"VOF LN Equity","VOF.L",NA,"VinaCapital Vietnam Opportunity Fund Ltd"
"GFS LN Equity","GFS.L",NA,"G4S PLC"
"NXT LN Equity","NXT.L","Consumer, Cyclical","Next PLC"
"PHNX LN Equity","PHNX.L",NA,"Phoenix Group Holdings PLC"
"QLT LN Equity","QLT.L",NA,"Quilter PLC"
"RR/ LN Equity","RR.L","Industrial","Rolls-Royce Holdings PLC"
"CNA LN Equity","CNA.L","Utilities","Centrica PLC"
"BA/ LN Equity","BA.L","Industrial","BAE Systems PLC"
"BAB LN Equity","BAB.L",NA,"Babcock International Group PLC"
"HICL LN Equity","HICL.L",NA,"Hicl Infrastructure PLC"
"BAG LN Equity","BAG.L",NA,"AG Barr PLC"
"PLP LN Equity","PLP.L",NA,"Polypipe Group plc"
"PLUS LN Equity","PLUS.L",NA,"Plus500 Ltd"
"ESNT LN Equity","ESNT.L",NA,"Essentra PLC"
"BATS LN Equity","BATS.L","Consumer, Non-cyclical","British American Tobacco PLC"
"NG/ LN Equity","NG.L","Utilities","National Grid PLC"
"RDSB LN Equity","RDSB.L","Energy","Royal Dutch Shell PLC"
"WEIR LN Equity","WEIR.L",NA,"Weir Group PLC/The"
"RDW LN Equity","RDW.L",NA,"Redrow PLC"
"BBH LN Equity","BBH.L",NA,"BB Healthcare Trust Plc"
"BBOX LN Equity","BBOX.L",NA,"Tritax Big Box REIT PLC"
"III LN Equity","III.L","Financial","3i Group PLC"
"REL LN Equity","REL.L","Consumer, Non-cyclical","RELX PLC"
"CPI LN Equity","CPI.L",NA,"Capita PLC"
"WIZZ LN Equity","WIZZ.L",NA,"Wizz Air Holdings Plc"
"BRW LN Equity","BRW.L",NA,"Brewin Dolphin Holdings PLC"
"BCPT LN Equity","BCPT.L",NA,"BMO Commercial Property Trust Ltd"
"CRH LN Equity","CRH.L","Industrial","CRH PLC"
"HSBA LN Equity","HSBA.L","Financial","HSBC Holdings PLC"
"WMH LN Equity","WMH.L",NA,"William Hill PLC"
"HSL LN Equity","HSL.L",NA,"Henderson Smaller Companies Investment T"
"BEZ LN Equity","BEZ.L",NA,"Beazley PLC"
"HSTG LN Equity","HSTG.L",NA,"Hastings Group Holdings PLC"
"CSP LN Equity","CSP.L",NA,"Countryside Properties PLC"
"BGFD LN Equity","BGFD.L",NA,"Baillie Gifford Japan Trust PLC/The"
"BGSC LN Equity","BGSC.L",NA,"BMO Global Smaller Companies PLC/Fund"
"CTEC LN Equity","CTEC.L",NA,"ConvaTec Group PLC"
"RNK LN Equity","RNK.L",NA,"Rank Group PLC"
"BIFF LN Equity","BIFF.L",NA,"Biffa PLC"
"WTB LN Equity","WTB.L","Consumer, Cyclical","Whitbread PLC"
"HWDN LN Equity","HWDN.L",NA,"Howden Joinery Group PLC"
"MYI LN Equity","MYI.L",NA,"Murray International Trust PLC"
"PZC LN Equity","PZC.L",NA,"PZ Cussons PLC"
"ROR LN Equity","ROR.L",NA,"Rotork PLC"
"LSE LN Equity","LSE.L","Financial","London Stock Exchange Group PLC"
"SSPG LN Equity","SSPG.L",NA,"SSP Group Plc"
"RSA LN Equity","RSA.L","Financial","RSA Insurance Group PLC"
"PIN LN Equity","PIN.L",NA,"Pantheon International PLC/The Fund"
"AGR LN Equity","AGR.L",NA,"Assura PLC"
"BLND LN Equity","BLND.L","Financial","British Land Co PLC/The"
"BME LN Equity","BME.L",NA,"B&M European Value Retail SA"
"NWG LN Equity","NWG.L","Financial","Royal Bank of Scotland Group PLC"
"BARC LN Equity","BARC.L","Financial","Barclays PLC"
"LXI LN Equity","LXI.L",NA,"LXI REIT plc"
"IEM LN Equity","IEM.L",NA,"Impax Environmental Markets PLC"
"SAFE LN Equity","SAFE.L",NA,"Safestore Holdings PLC"
"SAIN LN Equity","SAIN.L",NA,"Scottish American Investment Co PLC/The"
"OSB LN Equity","OSB.L",NA,"OneSavings Bank PLC"
"IGG LN Equity","IGG.L",NA,"IG Group Holdings PLC"
"JD/ LN Equity","JD.L",NA,"JD Sports Fashion PLC"
"BP/ LN Equity","BP.L","Energy","BP PLC"
"JEO LN Equity","JEO.L",NA,"European Opportunities Trust PLC"
"FRAS LN Equity","FRAS.L",NA,"Frasers Group PLC"
"IMB LN Equity","IMB.L","Consumer, Non-cyclical","Imperial Brands PLC"
"BRSC LN Equity","BRSC.L",NA,"BlackRock Smaller Cos Trust PLC"
"MRO LN Equity","MRO.L","Financial","Melrose Industries PLC"
"TRY LN Equity","TRY.L",NA,"TR Property Investment Trust PLC - Ordin"
"SBRY LN Equity","SBRY.L","Consumer, Non-cyclical","J Sainsbury PLC"
"BT/A LN Equity","BT-A.L","Communications","BT Group PLC"
"BVIC LN Equity","BVIC.L",NA,"Britvic PLC"
"SCIN LN Equity","SCIN.L",NA,"Scottish Investment Trust PLC"
"INPP LN Equity","INPP.L",NA,"International Public Partnerships Ltd"
"SCT LN Equity","SCT.L",NA,"Softcat PLC"
"JUP LN Equity","JUP.L",NA,"Jupiter Fund Management PLC"
"TUI LN Equity","TUI.L","Consumer, Cyclical","TUI AG"
"BYG LN Equity","BYG.L",NA,"Big Yellow Group PLC"
"INVP LN Equity","INVP.L",NA,"Investec PLC"
"MGAM LN Equity","MGAM.L",NA,"Morgan Advanced Materials PLC"
"SEQI LN Equity","SEQI.L",NA,"Sequoia Economic Infrastructure Income F"
"IPO LN Equity","IPO.L",NA,"IP Group PLC"
"SGE LN Equity","SGE.L","Technology","Sage Group PLC/The"
"SPX LN Equity","SPX.L","Industrial","Spirax-Sarco Engineering PLC"
"BKG LN Equity","BKG.L","Consumer, Cyclical","Berkeley Group Holdings PLC"
"GFTU LN Equity","GFTU.L",NA,"Grafton Group PLC"
"SHB LN Equity","SHB.L",NA,"Shaftesbury PLC"
"UDG LN Equity","UDG.L",NA,"UDG Healthcare PLC"
"QQ/ LN Equity","QQ.L",NA,"QinetiQ Group PLC"
"VSVS LN Equity","VSVS.L",NA,"Vesuvius PLC"
"UKCM LN Equity","UKCM.L",NA,"UK Commercial Property REIT Ltd"
"MNDI LN Equity","MNDI.L","Basic Materials","Mondi PLC"
"CCC LN Equity","CCC.L",NA,"Computacenter PLC"
"PLI LN Equity","PLI.L",NA,"Perpetual Income and Growth Investment T"
"ULVR LN Equity","ULVR.L","Consumer, Non-cyclical","Unilever PLC"
"CCL LN Equity","CCL.L","Consumer, Cyclical","Carnival PLC"
"IWG LN Equity","IWG.L",NA,"IWG PLC"
"MONY LN Equity","MONY.L",NA,"Moneysupermarket.com Group PLC"
"GNC LN Equity","GNC.L",NA,"Greencore Group PLC"
"SKG LN Equity","SKG.L","Basic Materials","Smurfit Kappa Group PLC"
"PNL LN Equity","PNL.L",NA,"Personal Assets Trust PLC/Fund"
"BNZL LN Equity","BNZL.L","Consumer, Cyclical","Bunzl PLC"
"ASHM LN Equity","ASHM.L",NA,"Ashmore Group PLC"
"LAND LN Equity","LAND.L","Financial","Land Securities Group PLC"
"JET LN Equity","JET.L",NA,"Just Eat Takeaway.com NV"
"JFJ LN Equity","JFJ.L",NA,"JPMorgan Japanese Investment Trust PLC/F"
"SN/ LN Equity","SN.L","Consumer, Non-cyclical","Smith & Nephew PLC"
"EDIN LN Equity","EDIN.L",NA,"Edinburgh Investment Trust PLC/The"
"JLG LN Equity","JLG.L",NA,"John Laing Group PLC"
"JMAT LN Equity","JMAT.L","Basic Materials","Johnson Matthey PLC"
"JMG LN Equity","JMG.L",NA,"JPMorgan Emerging Markets Investment Tru"
"LGEN LN Equity","LGEN.L","Financial","Legal & General Group PLC"
"CRST LN Equity","CRST.L",NA,"Crest Nicholson Holdings plc"
"MSLH LN Equity","MSLH.L",NA,"Marshalls PLC"
"CINE LN Equity","CINE.L",NA,"Cineworld Group PLC"
"CSH LN Equity","CSH.L",NA,"Civitas Social Housing PLC"
"CKN LN Equity","CKN.L",NA,"Clarkson PLC"
"EMG LN Equity","EMG.L",NA,"Man Group PLC/Jersey"
"HAS LN Equity","HAS.L",NA,"Hays PLC"
"PTEC LN Equity","PTEC.L",NA,"Playtech Plc"
"AVON LN Equity","AVON.L",NA,"Avon Rubber PLC"
"CLSN LN Equity","CLSN.L",NA,"Calisen PLC"
"SRP LN Equity","SRP.L",NA,"Serco Group PLC"
"HIK LN Equity","HIK.L","Consumer, Non-cyclical","Hikma Pharmaceuticals PLC"
"CAPC LN Equity","CAPC.L",NA,"Capital & Counties Properties PLC"
"N91 LN Equity","N91.L",NA,"Ninety One PLC"
"KGF LN Equity","KGF.L","Consumer, Cyclical","Kingfisher PLC"
"ENOG LN Equity","ENOG.L",NA,"Energean PLC"
"CWK LN Equity","CWK.L",NA,"Cranswick PLC"
"TEP LN Equity","TEP.L",NA,"Telecom Plus PLC"
"VTY LN Equity","VTY.L",NA,"Vistry Group PLC"
"CNE LN Equity","CNE.L",NA,"Cairn Energy PLC"
"STJ LN Equity","STJ.L","Financial","St James's Place PLC"
"COA LN Equity","COA.L",NA,"Coats Group PLC"
"ICGT LN Equity","ICGT.L",NA,"ICG Enterprise Trust PLC"
"KNOS LN Equity","KNOS.L",NA,"Kainos Group PLC"
"SYNT LN Equity","SYNT.L",NA,"Synthomer PLC"
"NETW LN Equity","NETW.L",NA,"Network International Holdings PLC"
"HLMA LN Equity","HLMA.L","Industrial","Halma PLC"
"SVS LN Equity","SVS.L",NA,"Savills PLC"
"SVT LN Equity","SVT.L","Utilities","Severn Trent PLC"
"AJB LN Equity","AJB.L",NA,"AJ Bell PLC"
"HMSO LN Equity","HMSO.L",NA,"Hammerson PLC"
"TPK LN Equity","TPK.L",NA,"Travis Perkins PLC"
"DGE LN Equity","DGE.L","Consumer, Non-cyclical","Diageo PLC"
"CPG LN Equity","CPG.L","Consumer, Cyclical","Compass Group PLC"
"EWI LN Equity","EWI.L",NA,"Edinburgh Worldwide Investment Trust PLC"
"SXS LN Equity","SXS.L",NA,"Spectris PLC"
"DIGS LN Equity","DIGS.L",NA,"GCP Student Living PLC"
"MGGT LN Equity","MGGT.L",NA,"Meggitt PLC"
"HRI LN Equity","HRI.L",NA,"Herald Investment Trust PLC"
"TSCO LN Equity","TSCO.L","Consumer, Non-cyclical","Tesco PLC"
"MCRO LN Equity","MCRO.L",NA,"Micro Focus International PLC"
"TALK LN Equity","TALK.L",NA,"TalkTalk Telecom Group PLC"
"TATE LN Equity","TATE.L",NA,"Tate & Lyle PLC"
"GSS LN Equity","GSS.L",NA,"Genesis Emerging Markets Fund Ltd"
"LIO LN Equity","LIO.L",NA,"Liontrust Asset Management PLC"
"LLOY LN Equity","LLOY.L","Financial","Lloyds Banking Group PLC"
"HSX LN Equity","HSX.L","Financial","Hiscox Ltd"
"FCSS LN Equity","FCSS.L",NA,"Fidelity China Special Situations PLC"
"HTWS LN Equity","HTWS.L",NA,"Helios Towers PLC"
"WTAN LN Equity","WTAN.L",NA,"Witan Investment Trust PLC"
"ICP LN Equity","ICP.L",NA,"Intermediate Capital Group PLC"
"ERM LN Equity","ERM.L",NA,"Euromoney Institutional Investor PLC"
"DCC LN Equity","DCC.L","Energy","DCC PLC"
"CTY LN Equity","CTY.L",NA,"City of London Investment Trust PLC/The"
"LRE LN Equity","LRE.L",NA,"Lancashire Holdings Ltd"
"IAG LN Equity","IAG.L","Consumer, Cyclical","International Consolidated Airlines Grou"
"AZN LN Equity","AZN.L","Consumer, Non-cyclical","AstraZeneca PLC"
"STAN LN Equity","STAN.L","Financial","Standard Chartered PLC"
"DRX LN Equity","DRX.L",NA,"Drax Group PLC"
"IBST LN Equity","IBST.L",NA,"Ibstock PLC"
"RSW LN Equity","RSW.L",NA,"Renishaw PLC"
"RTO LN Equity","RTO.L","Consumer, Non-cyclical","Rentokil Initial PLC"
"CCH LN Equity","CCH.L","Consumer, Non-cyclical","Coca-Cola HBC AG"
"SMWH LN Equity","SMWH.L",NA,"WH Smith PLC"
"PAY LN Equity","PAY.L",NA,"PayPoint PLC"
"VCT LN Equity","VCT.L",NA,"Victrex PLC"
"HILS LN Equity","HILS.L",NA,"Hill & Smith Holdings PLC"
"SLA LN Equity","SLA.L","Financial","Standard Life Aberdeen PLC"
"MAB LN Equity","MAB.L",NA,"Mitchells & Butlers PLC"
"RDSA LN Equity","RDSA.L","Energy","Royal Dutch Shell PLC"
"MRC LN Equity","MRC.L",NA,"Mercantile Investment Trust PLC"
"CEY LN Equity","CEY.L",NA,"Centamin PLC"
"JDW LN Equity","JDW.L",NA,"J D Wetherspoon PLC"
"TRIG LN Equity","TRIG.L",NA,"Renewables Infrastructure Group Ltd/The"
"TRN LN Equity","TRN.L",NA,"Trainline PLC"
"BRBY LN Equity","BRBY.L","Consumer, Cyclical","Burberry Group PLC"
"DOM LN Equity","DOM.L",NA,"Domino's Pizza Group PLC"
"VOD LN Equity","VOD.L","Communications","Vodafone Group PLC"
"LWDB LN Equity","LWDB.L",NA,"Law Debenture Corp PLC/fund"
"VEIL LN Equity","VEIL.L",NA,"Vietnam Enterprise Investments Ltd"
"PRTC LN Equity","PRTC.L",NA,"PureTech Health Plc"
"DLG LN Equity","DLG.L","Financial","Direct Line Insurance Group PLC"
"DLN LN Equity","DLN.L",NA,"Derwent London PLC"
"RIO LN Equity","RIO.L","Basic Materials","Rio Tinto PLC"
"GVC LN Equity","GVC.L","Consumer, Cyclical","GVC Holdings PLC"
"SDR LN Equity","SDR.L","Financial","Schroders PLC"
"DNLM LN Equity","DNLM.L",NA,"Dunelm Group PLC"
"TW/ LN Equity","TW.L","Consumer, Cyclical","Taylor Wimpey PLC"
"CLI LN Equity","CLI.L",NA,"CLS Holdings PLC"
"RB/ LN Equity","RB.L","Consumer, Non-cyclical","Reckitt Benckiser Group PLC"
